,Prot_list
0,MED12
1,FABP3
2,AJUBA
3,NAV1
4,BAIAP2L1
5,PPP1R8
6,ITPR2
7,SLC25A24
8,FARP1
9,FRG1
10,ABCB8
11,PROCR
12,PCBD1
13,ARHGAP29
14,ENOPH1
15,ME3
16,PIBF1
17,DPYSL3
18,ARL6IP5
19,ACP6
20,SIRT1
21,RCN1
22,SLC38A10
23,METTL3
24,GPD2
25,KCMF1
26,BCS1L
27,KAT7
28,ACSL5
29,PRKAG1
30,TRIM33
31,HK1
32,PCBD2
33,MAPK8IP3
34,ALDOC
35,TOR1AIP2
36,LIN7C
37,S100A6
38,GPR89B
39,PCF11
40,PODXL
41,ANXA4
42,GTF2F2
43,DDX27
44,SURF6
45,RBBP5
46,MX1
47,CWC27
48,STOM
49,MAGEA4
50,NDUFA4
51,THYN1
52,ADAR
53,GALK1
54,BRCC3
55,MDP1
56,TACC2
57,EIF6
58,ARHGDIB
59,MMP14
60,FTO
61,GRWD1
62,CHTF18
63,PSMB10
64,STX12
65,HMGA2
66,LNPEP
67,PFKM
68,GRIPAP1
69,SSB
70,LRRC1
71,ALDH1B1
72,PTER
73,FN1
74,RBM33
75,PPIL4
76,SSR1
77,NOA1
78,DKC1
79,KMT2B
80,BCL2L13
81,NELFE
82,EPN1
83,ADAM9
84,SEMA4B
85,PARP2
86,CDC73
87,NKRF
88,ARF5
89,VTI1B
90,SSRP1
91,WDR36
92,BANF1
93,TUSC3
94,GALM
95,ZNF512
96,PNPLA6
97,ABCB6
98,MYO6
99,CLCC1
100,CORO1C
101,RNF167
102,LOXL2
103,GOLGA5
104,IFNGR1
105,CD2AP
106,USP5
107,F11R
108,NOL6
109,PPP1R12C
110,POFUT1
111,CTBP1
112,MYL12A
113,REEP5
114,DHX9
115,SPTLC1
116,MED23
117,BAZ1B
118,RAP2B
119,BRD1
120,MTA2
121,DDX46
122,CDKAL1
123,ANXA11
124,AKAP12
125,COPS4
126,DES
127,SUPT16H
128,COLGALT1
129,SNRPB2
130,HLA-DRB1
131,SYVN1
132,OXA1L
133,C2CD5
134,PPP4R2
135,SOAT1
136,AK3
137,PDCD4
138,TRIO
139,RPA2
140,AK1
141,ASPH
142,ATP6V1B2
143,PTGFRN
144,XRN2
145,MX2
146,GABPB1
147,CHMP3
148,S100A14
149,CD276
150,RAB27B
151,RAB3D
152,ARHGEF11
153,CSTF2T
154,CHTOP
155,NDUFB6
156,SUZ12
157,CELF2
158,BCAP31
159,UBQLN4
160,RAB5A
161,WDR3
162,TBC1D15
163,MYLK
164,WFS1
165,COX7A2L
166,RSRC2
167,PFN2
168,PIP4K2C
169,PWP1
170,ATL3
171,CCDC134
172,OAS3
173,SMAD4
174,POLR1A
175,CLCN7
176,PAWR
177,DDX10
178,MBOAT2
179,GCC2
180,CA1
181,SCPEP1
182,SCFD1
183,EPS8
184,SGSH
185,GGCT
186,HTATIP2
187,SMARCE1
188,CD9
189,PRDX2
190,LARP4
191,CTSB
192,STRN4
193,PPP1R9B
194,TDRKH
195,IAH1
196,MCM4
197,RPA3
198,CUTC
199,UTRN
200,FBXL20
201,COL12A1
202,LAMC1
203,LRRC8A
204,GSN
205,CALU
206,GDAP1
207,MICU1
208,TONSL
209,ITGB5
210,PGRMC2
211,HLA-DRA
212,NDUFAF4
213,AUP1
214,ATAD2
215,XAB2
216,FLNA
217,RACGAP1
218,CALCOCO2
219,TMEM30A
220,NAPA
221,EI24
222,GOLIM4
223,CENPF
224,PDP1
225,BAIAP2
226,FKBP5
227,RNASET2
228,ALDH18A1
229,ILVBL
230,SMNDC1
231,RAD21
232,MYO1D
233,HSPA2
234,RPL7L1
235,LRCH4
236,LTBP3
237,WDR48
238,SNRPD1
239,ALKBH5
240,POFUT2
241,RSBN1L
242,CYFIP1
243,UCHL1
244,MXRA7
245,PMM1
246,MYOF
247,INPP5A
248,ODR4
249,MTHFS
250,ZNF622
251,FEN1
252,LGMN
253,PDPR
254,MED28
255,TOP3B
256,SLC27A1
257,PALM
258,PABPC4
259,ATP12A
260,ERAP2
261,PYGL
262,VIM
263,CYP2S1
264,ANKLE2
265,NIF3L1
266,NSUN5
267,CDH3
268,TAOK3
269,ABCD1
270,FYCO1
271,TSSC4
272,CNTNAP1
273,NUCKS1
274,RPS6KA4
275,LMF2
276,TFRC
277,ARL2
278,IRS1
279,HLA-C
280,PSMC5
281,NAB2
282,EPB41L1
283,SORBS3
284,SP3
285,ZMYND8
286,MAP1B
287,DSTN
288,HK3
289,NLE1
290,GLRX5
291,CHEK2
292,L1CAM
293,RAB27A
294,THEM6
295,DNAJB11
296,GHDC
297,NAGA
298,NDUFB8
299,GTF2B
300,DDAH1
301,MSI1
302,BEND3
303,IL6ST
304,TOMM22
305,METTL7A
306,VAPA
307,DDB2
308,TARS2
309,LMAN1
310,THUMPD1
311,CSNK2A1
312,NCOA6
313,THOC7
314,SLC2A3
315,SDC1
316,UBASH3B
317,S100A4
318,UBXN7
319,SERPINB8
320,EARS2
321,HEATR1
322,WDR18
323,GTF2H2
324,GALE
325,PDZD8
326,P4HTM
327,MANBA
328,DYNLL1
329,MPST
330,RAB11FIP1
331,CDK5RAP2
332,CLINT1
333,CYC1
334,NACC1
335,FOXK1
336,NSD1
337,MINPP1
338,SPAG7
339,CEP170B
340,SLC16A1
341,SERPINE2
342,GTF3C1
343,AKR1C3
344,RPUSD2
345,SLC25A5
346,MLH1
347,TMED2
348,MAN2A1
349,ORC4
350,FAM98A
351,CHMP1B
352,SEH1L
353,SIPA1L3
354,STIM1
355,RP2
356,TTC19
357,DCAKD
358,NOP14
359,DHRS3
360,VTI1A
361,RRP12
362,SLC25A13
363,FASTKD2
364,ITM2B
365,DNAJC9
366,PABPC1L
367,ATP2B4
368,POLR2A
369,BMS1
370,DDX49
371,NDRG1
372,STRN
373,GNB1L
374,KDSR
375,RAB11B
376,ALG1
377,RBCK1
378,NUP50
379,MTO1
380,SPTAN1
381,PIP4K2B
382,PEG10
383,WARS2
384,BCL9L
385,MYO18A
386,DNAJC8
387,UBE2R2
388,TSEN54
389,NUDT9
390,ERCC2
391,MORC3
392,ANO6
393,UBXN6
394,RPF1
395,UTP20
396,GOLGA4
397,TIMM8B
398,SLC39A10
399,SMTN
400,ATP6V1A
401,KIF5B
402,NT5DC3
403,CDC16
404,PCNP
405,HMGB2
406,LAMTOR1
407,PRRC2A
408,SMS
409,SIN3B
410,BOLA1
411,CALD1
412,MOGS
413,COL3A1
414,NLN
415,ULBP2
416,SIN3A
417,THOC3
418,EMC10
419,DDOST
420,MIB1
421,TPBG
422,PLS3
423,WASL
424,RPP40
425,IRF2BP2
426,ZNF592
427,HM13
428,USO1
429,GALNT2
430,ZNF281
431,TRAFD1
432,DDX56
433,RAB18
434,TMUB1
435,XRCC5
436,MYO1B
437,AP2A1
438,SLC16A3
439,TPD52
440,CMSS1
441,AMFR
442,PPWD1
443,LAMC2
444,ABI2
445,PLBD1
446,GPC1
447,RPL22
448,PRPS1
449,PPOX
450,LACTB
451,TM9SF1
452,PAM
453,EPS8L2
454,EIF2AK2
455,SSH3
456,ARMC1
457,GNG5
458,MARS2
459,CERS2
460,CSPG4
461,DNAJB12
462,CDK11B
463,LRPPRC
464,LUC7L
465,SPAG1
466,SLC30A1
467,SRRM2
468,MYH11
469,CTSZ
470,TACC1
471,CHCHD4
472,FYTTD1
473,POU2F1
474,RALB
475,PTBP2
476,LRRFIP2
477,MIS18A
478,PAXIP1
479,TM9SF2
480,PLD2
481,STRBP
482,ZNF318
483,TGM2
484,RAVER1
485,MT1G
486,UAP1L1
487,RPP30
488,IL18
489,PLAU
490,PITHD1
491,NCOR1
492,PRKDC
493,NUP214
494,ASAP2
495,SOD1
496,CPSF2
497,COPS7B
498,TMEM43
499,ELF1
500,ATP2C1
501,PLEC
502,DUT
503,CEP250
504,API5
505,PANX1
506,PPM1F
507,MCUR1
508,TMCO1
509,CLPTM1L
510,ITGB1
511,OPTN
512,SORD
513,SERPINB9
514,PLEK
515,RCC2
516,KIF4B
517,TAOK1
518,CCPG1
519,MCM3
520,HSPA1A
521,SLC12A6
522,NFRKB
523,VDAC3
524,MTA3
525,FAM3A
526,DDRGK1
527,LEMD2
528,PPP1R7
529,ATL2
530,HIRA
531,SH3D19
532,GOLM1
533,TOM1L2
534,DNAJC5
535,KIF21A
536,KIF5A
537,MGST1
538,URB2
539,AKR1C1
540,ECE1
541,MAP7D3
542,CAT
543,PPIE
544,DHX15
545,BASP1
546,NT5C3B
547,KMT2D
548,SCML2
549,PC
550,LRPAP1
551,LSM3
552,CORO1B
553,MTHFD2
554,AP1S1
555,EMC8
556,CAAP1
557,RFTN1
558,AP2S1
559,STAM
560,TDP2
561,HDAC1
562,NSFL1C
563,RAB4B
564,ZNF207
565,PEX3
566,PRDX4
567,NDUFB5
568,CAMK2B
569,CNNM4
570,CHD2
571,DHRS7
572,HOMER1
573,UBE2E2
574,PUS7
575,PIP5K1A
576,LRP1
577,SCIN
578,TAF7
579,HAGH
580,YRDC
581,NUP43
582,ATP6V1F
583,PHF3
584,TAMM41
585,EFR3A
586,SENP1
587,COL1A2
588,TP53BP1
589,NELFCD
590,DDAH2
591,LPCAT3
592,ACSL4
593,SYNPO
594,MAGI1
595,KIAA0319L
596,SLC25A20
597,NEXN
598,POR
599,LGALS3BP
600,DDX4
601,QDPR
602,ANXA7
603,ERMP1
604,QSOX2
605,TACSTD2
606,SNAP23
607,RUFY2
608,ENDOD1
609,COBLL1
610,MYL3
611,SLC38A1
612,WDR89
613,GTF2I
614,DOCK9
615,RNF113A
616,PITPNA
617,C11orf68
618,SORL1
619,DNAJB6
620,FUNDC2
621,PTMS
622,RNF14
623,RAB6A
624,SLC25A6
625,KAT8
626,PRDX5
627,USP7
628,ATP11C
629,SENP3
630,MIPEP
631,CUL4A
632,MGAT5
633,LGALS3
634,GTF2E2
635,HDGF
636,NEK9
637,STRN3
638,ARHGEF40
639,SLC1A4
640,ARMCX3
641,MPDZ
642,APP
643,NUP88
644,KIF16B
645,ITGA3
646,BAG2
647,NCLN
648,NID1
649,CD59
650,STAT6
651,ARPC1A
652,COTL1
653,RFC3
654,ACSF2
655,NSUN2
656,TMEM245
657,MED24
658,P4HA1
659,ZMYM2
660,UBA3
661,NOP2
662,CHD9
663,MORF4L1
664,NHLRC3
665,RPS27A
666,TDRD3
667,LRRC59
668,PARK7
669,TAOK2
670,HDAC3
671,PLRG1
672,PTPRS
673,KIF22
674,QPRT
675,GOSR1
676,SNCG
677,ABHD12
678,RRBP1
679,HNRNPC
680,SLC25A19
681,PSMB8
682,DDX52
683,TOP1
684,FNDC3A
685,NOSIP
686,NFYB
687,MIER1
688,WDR61
689,LMAN2L
690,MCRS1
691,STAG2
692,TRIP11
693,NUP133
694,DTD1
695,PAXBP1
696,GSTZ1
697,SLC25A12
698,PLK1
699,BMP2K
700,CLIP1
701,RAI1
702,ESD
703,CSNK2B
704,KDM5D
705,TPM4
706,UBAC2
707,PPIC
708,PLOD3
709,MORF4L2
710,LSM14B
711,LDLR
712,LYPLAL1
713,ATP2A2
714,RPS20
715,THOC5
716,ATP9A
717,CMC4
718,DAB2
719,HSPA6
720,SDC4
721,POLRMT
722,FKBP7
723,CRAT
724,SYMPK
725,SEPHS1
726,TM9SF3
727,MNAT1
728,PIGT
729,RILPL1
730,SCRN2
731,RBBP6
732,DHX37
733,GIPC1
734,PPIL1
735,PAK1IP1
736,COL6A1
737,TNIK
